request_domain,sites_seen_on
www.google.com,35
www.googletagmanager.com,32
googleads.g.doubleclick.net,25
www.google-analytics.com,21
bat.bing.com,20
play.google.com,20
www.facebook.com,19
cm.g.doubleclick.net,18
pixel.rubiconproject.com,17
www.google.com.pk,16
ib.adnxs.com,16
dpm.demdex.net,16
stats.g.doubleclick.net,15
c.bing.com,15
dsum-sec.casalemedia.com,15
