url,top_level_url,is_third_party_channel,resource_type,method,post_body,referrer,request_domain,flagged_by_filter,classification,manual_reason
https://salim.webprivacylab.com/,https://salim.webprivacylab.com/,,main_frame,GET,,,salim.webprivacylab.com,False,CLEAN_CRAWLING,
https://salim.webprivacylab.com/static/fb_direct.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,salim.webprivacylab.com,False,CLEAN_CRAWLING,
https://salim.wpltracker.com/fb_proxy.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,salim.wpltracker.com,False,TRACKING_HEURISTIC,contains /track
https://salim.webprivacylab.com/fb_firstparty.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,salim.webprivacylab.com,False,CLEAN_CRAWLING,
https://sandra.webprivacylab.com/trackers_from_other_subdomains.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,sandra.webprivacylab.com,False,TRACKING_HEURISTIC,contains /track
https://salim.webprivacylab.com/conversion_api_server_side_tracker,https://salim.webprivacylab.com/,,xmlhttprequest,POST,,https://salim.webprivacylab.com/,salim.webprivacylab.com,False,TRACKING_HEURISTIC,contains /track
https://salim.webprivacylab.com/google_server_side_tracker?v=2&tid=G-TEST123&cid=k6e9257g9g&t=pageview&dl=https%3A%2F%2Fsalim.webprivacylab.com%2F&dr=&ua=Mozilla%2F5.0+%28X11%3B+Linux+x86_64%3B+rv%3A149.0%29+Gecko%2F20100101+Firefox%2F149.0,https://salim.webprivacylab.com/,,xmlhttprequest,GET,,https://salim.webprivacylab.com/,salim.webprivacylab.com,True,TRACKING_FILTER,contains /track
https://connect.facebook.net/en_US/fbevents.js,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,connect.facebook.net,True,TRACKING_FILTER,
https://salim.webprivacylab.com/favicon.ico,https://salim.webprivacylab.com/,,image,GET,,https://salim.webprivacylab.com/,salim.webprivacylab.com,False,CLEAN_CRAWLING,
https://www.googletagmanager.com/gtm.js?id=GTM-P528B3,https://salim.webprivacylab.com/,,script,GET,,https://salim.webprivacylab.com/,www.googletagmanager.com,True,TRACKING_FILTER,
